molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"8-Beta-D-Glucopyranosyl-7-Hydroxy-3-(4-M",1,0,0,0,0,8,0,-2,430.410,5.197,676.619,204.435,225.420,246.764,0.000,1229.236,5.000,12.500,0.0219756,0.0413096,0.8201836,40.260,14.106,27.947,22.430,0.289,-3.313,-3.973,-5.618,72.151,-2.153,28.857,-4.037,8.678,0.575,9,-0.629,2,61.896,0.000,0.000,149.778,9,0,22,0,22,5,31,1,0.019
"8-Beta-D-Glucopyranosyl-7-Hydroxy-3-(4-M",1,0,0,0,0,8,0,-2,430.410,5.197,676.619,204.435,225.420,246.764,0.000,1229.236,5.000,12.500,0.0219756,0.0413096,0.8201836,40.260,14.106,27.947,22.430,0.289,-3.313,-3.973,-5.618,72.151,-2.153,28.857,-4.037,8.678,0.575,9,-0.629,2,61.896,0.000,0.000,149.778,9,0,22,0,22,5,31,1,0.019
"Cardamonin",0,0,0,0,0,7,1,-2,270.284,3.717,539.790,103.424,126.761,309.606,0.000,904.373,1.000,3.250,0.0152780,0.0060209,0.8378601,28.501,9.823,12.553,7.108,3.065,-3.805,-4.114,-5.632,622.052,-1.062,296.142,-2.093,9.060,0.581,3,0.153,3,94.895,0.000,0.000,72.657,4,0,12,0,12,0,20,0,0.342
"Cardamonin",0,0,0,0,0,7,1,-2,270.284,3.717,539.790,103.424,126.761,309.606,0.000,904.373,1.000,3.250,0.0152780,0.0060209,0.8378601,28.501,9.823,12.553,7.108,3.065,-3.805,-4.114,-5.632,622.052,-1.062,296.142,-2.093,9.060,0.581,3,0.153,3,94.895,0.000,0.000,72.657,4,0,12,0,12,0,20,0,0.342
"Cardamonin",0,0,0,0,0,7,1,-2,270.284,3.717,539.790,103.424,126.761,309.606,0.000,904.373,1.000,3.250,0.0152772,0.0060209,0.8378601,28.501,9.823,12.553,7.108,3.065,-3.805,-4.114,-5.632,622.052,-1.062,296.142,-2.093,9.060,0.581,3,0.153,3,94.895,0.000,0.000,72.657,4,0,12,0,12,0,20,0,0.342
"Sophoraflavonoloside",10,0,0,0,0,16,2,-2,610.524,9.560,801.993,173.583,420.690,207.720,0.000,1568.678,9.000,21.500,0.0582665,0.0804247,0.8141114,48.335,19.178,42.694,36.753,-2.741,-1.978,-3.834,-5.530,1.015,-4.633,0.288,-7.005,9.128,0.757,10,-1.433,1,0.000,0.000,0.000,269.021,16,3,28,0,28,10,43,2,0.001
"Sophoraflavonoloside",10,0,0,0,0,16,2,-2,610.524,9.560,801.993,173.583,420.690,207.720,0.000,1568.678,9.000,21.500,0.0582670,0.0804247,0.8141114,48.335,19.178,42.694,36.753,-2.741,-1.978,-3.834,-5.530,1.015,-4.633,0.288,-7.005,9.128,0.757,10,-1.433,1,0.000,0.000,0.000,269.021,16,3,28,0,28,10,43,2,0.001
"Nevadensin",0,0,0,0,0,5,0,-1,344.320,7.770,567.385,251.832,120.976,194.577,0.000,1005.500,1.000,5.250,0.0600499,0.0092530,0.8554770,32.734,10.026,15.661,8.764,2.794,-3.928,-5.077,-4.798,705.805,-0.840,339.466,-2.584,8.881,0.818,5,0.137,3,94.291,0.000,0.000,94.981,7,0,16,0,16,0,25,0,0.106
"Nevadensin",0,0,0,0,0,5,0,-1,344.320,7.770,567.385,251.832,120.976,194.577,0.000,1005.500,1.000,5.250,0.0600497,0.0092530,0.8554770,32.734,10.026,15.661,8.764,2.794,-3.928,-5.077,-4.798,705.805,-0.840,339.466,-2.584,8.881,0.818,5,0.137,3,94.291,0.000,0.000,94.981,7,0,16,0,16,0,25,0,0.106
"Moslosooflavone",0,0,0,0,0,3,0,0,298.295,4.034,522.552,165.245,93.893,263.413,0.000,915.379,0.000,3.750,0.0177765,0.0000000,0.8725079,31.069,9.296,12.307,6.439,3.099,-3.668,-4.627,-4.851,1275.001,-0.440,643.272,-2.034,9.043,0.800,3,0.145,3,100.000,0.000,0.000,69.667,5,0,16,0,16,0,22,0,0.593
