title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"Nobiletin",410,Done,0.125,-2.83004,"glide-grid_Sa3ANT_avrg",-2.83004,-0.0814103,0,-0,-0.665491,-33.9024,-3.39469,0.121191,0,-40.5957,-37.2971,6.57034
"Hesperetin",411,Done,0.125,-4.76338,"glide-grid_Sa3ANT_avrg",-4.76338,-0.536215,-0.16,-0,-1.3481,-22.4576,-11.6623,0.20148,-0.0483122,-43.0622,-34.1199,4.15373
"Hesperetin",412,Done,0.11,-4.76338,"glide-grid_Sa3ANT_avrg",-4.76338,-0.536215,-0.16,-0,-1.3481,-22.4576,-11.6623,0.20148,-0.0483122,-43.0622,-34.1199,4.15373
"Hesperetin",413,Done,0.156,-4.76338,"glide-grid_Sa3ANT_avrg",-4.76338,-0.536215,-0.16,-0,-1.3481,-22.4576,-11.6623,0.20148,-0.0483122,-43.0622,-34.1199,4.15373
"(-)-Epicatechin",414,Done,0.265,-6.63694,"glide-grid_Sa3ANT_avrg",-6.63694,-0.369828,-0.366073,-0,-1.92999,-25.3476,-19.4663,0.216274,0,-64.1741,-44.8139,5.86663
"5-Hydroxyflavone",415,Done,0.141,-3.46309,"glide-grid_Sa3ANT_avrg",-3.46309,-0.0152485,0,-0,-1.78474,-22.6648,-5.55934,0.304041,0,-33.6527,-28.2241,1.9344
"Tangeretin",416,Done,0.156,-3.21258,"glide-grid_Sa3ANT_avrg",-3.21258,-0.534605,-0.217806,-0,-0.870214,-27.0628,-2.50738,0.139287,0,-31.6378,-29.5702,8.28784
"Neohesperidin dihydrochalcone",417,"NO POSES STORED FOR LIGAND",1.125,,,,,,,,,,,,,,
"Neohesperidin dihydrochalcone",418,Done,1.063,-5.54751,"glide-grid_Sa3ANT_avrg",-5.85911,-0.952558,-0.207826,-0,0,-18.7516,-32.4628,0.378774,-0.13992,-56.138,-51.2144,21.0115
"Alpha-Naphthoflavone",419,Done,0.062,-3.04017,"glide-grid_Sa3ANT_avrg",-3.04017,-0.182484,0,-0,-1.55252,-25.4737,-1.82109,0.241676,0,-32.8039,-27.2948,0.0157314
"Hesperidin",420,"NO POSES STORED FOR LIGAND",0.438,,,,,,,,,,,,,,
"Rotenone",421,Done,0.14,-2.9128,"glide-grid_Sa3ANT_avrg",-2.9128,-0.403964,-0.109271,-0,-0.719883,-28.8602,-1.74871,0.125637,-0.1,-35.4365,-30.6089,1.50144
"Phlorizin",422,Done,0.75,-4.97312,"glide-grid_Sa3ANT_avrg",-5.16812,-0.684853,-0.190832,-0,-0.433573,-32.9421,-17.2622,0.512828,-0.135257,-67.7932,-50.2043,6.29734
"Phlorizin",423,Done,0.719,-5.05636,"glide-grid_Sa3ANT_avrg",-5.25136,-0.680855,-0.244993,-0,-0.433573,-33.0659,-17.4545,0.512828,-0.133301,-68.391,-50.5203,6.51474
